,CHEM_ID,LIB_ID,COMP_ID,CHRO_LIB_ENTRY_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,PLOT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PUBCHEM,PLATFORM,NEW_NAME
0,49,400,1408,155357,Amino Acid,Polyamine Metabolism,545.0,NAMED,KIDHWZJUCRJVML-UHFFFAOYSA-N,NCCCCN,putrescine,putrescine,110-60-1,13837702,HMDB0001414,C00134,1045,Pos Early,putrescine
1,50,400,485,155305,Amino Acid,Polyamine Metabolism,553.0,NAMED,ATHGHQPFGPMSJY-UHFFFAOYSA-N,NCCCCNCCCN,spermidine,spermidine,124-20-9,1071,HMDB0001257,C00315,1102,Pos Early,spermidine
2,62,209,38395,143675,Lipid,"Fatty Acid, Dihydroxy",2048.0,NAMED,CQSLTKIXAJTQGA-FLIBITNWSA-N,CCCCCC(C(C/C=C\CCCCCCCC(O)=O)O)O,"12,13-DiHOME","12,13-DiHOME",263399-35-5,8412123,HMDB0004705,C14829,10236635,Neg,DiHOME
3,92,305,38347,147843,Amino Acid,Lysine Metabolism,127.0,NAMED,FGSBNBBHOZHUBO-UHFFFAOYSA-N,OC(C(CCCC(O)=O)=O)=O,2-oxoadipate,2-oxoadipate,3184-35-8,70,HMDB0000225,C00322,71,Polar,oxoadipate
4,93,305,528,146398,Energy,TCA Cycle,1463.0,NAMED,KPGXRSRHYNQIFN-UHFFFAOYSA-N,O=C(C(O)=O)CCC(O)=O,alpha-ketoglutarate,alpha-ketoglutarate,"328-50-7,22202-68-2,305-72-6",50,HMDB0000208,C00026,51,Polar,alphaketoglutarate
5,98,209,1417,124553,Amino Acid,Tryptophan Metabolism,277.0,NAMED,HCZHHEIFKROPDY-UHFFFAOYSA-N,OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1,kynurenate,kynurenate,492-27-3,3712,HMDB0000715,C01717,3845,Neg,kynurenate
6,111,305,1549,147711,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",433.0,NAMED,DBXBTMSZEOQQDU-UHFFFAOYSA-N,CC(C(O)=O)CO,3-hydroxyisobutyrate,3-hydroxyisobutyrate,2068-83-9,10140307,"HMDB0000023,HMDB0000336","C01188,C06001",11966314,Polar,hydroxyisobutyrate
7,112,305,531,146400,Lipid,Mevalonate Metabolism,3196.0,NAMED,NPOAOTPXWNWTSH-UHFFFAOYSA-N,CC(CC(O)=O)(CC(O)=O)O,3-hydroxy-3-methylglutarate,3-hydroxy-3-methylglutarate,503-49-1,4573695,HMDB0000355,C03761,"1662,5459993",Polar,hydroxymethylglutarate
8,132,209,1414,124549,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1254.0,NAMED,OSJPPGNTCRNQQC-UHFFFAOYSA-N,OC(C(O)=O)COP(O)(O)=O,3-phosphoglycerate,3-phosphoglycerate,80731-10-8,10669764,HMDB0000807,C00597,724,Neg,phosphoglycerate
9,143,209,38309,143797,Lipid,"Fatty Acid, Oxidized",2071.0,NAMED,JVJFIQYAHPMBBX-FNORWQNLSA-N,CCCCCC(/C=C/C=O)O,4-hydroxynonenal,4-hydroxynonenal,"128946-65-6,75899-68-2",1630,HMDB0004362,C21642,5283344,Neg,hydroxynonenal
10,171,209,3127,124615,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4141.0,NAMED,FDGQSTZJBFJUBT-UHFFFAOYSA-N,O=C1C(N=CN2)=C2N=CN1,hypoxanthine,hypoxanthine,68-94-0,768,HMDB0000157,C00262,"790,135398638",Neg,hypoxanthine
11,172,400,32352,155912,Nucleotide,"Purine Metabolism, Guanine containing",4204.0,NAMED,UYTPUPDQBNUYGX-UHFFFAOYSA-N,NC(N1)=NC2=C(NC=N2)C1=O,guanine,guanine,73-40-5,744,HMDB0000132,C00242,135398634,Pos Early,guanine
12,180,209,1105,125969,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1585.0,NAMED,OYHQOLUKZRVURQ-HZJYTTRNSA-N,OC(CCCCCCC/C=C\C/C=C\CCCCC)=O,linoleate (18:2n6),linoleate (18:2n6),60-33-3,4444105,"HMDB0006270,HMDB0000673",C01595,5280450,Neg,linoleaten
13,181,209,1645,125740,Lipid,Medium Chain Fatty Acid,1520.0,NAMED,POULHZVOKOAJMA-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCC,laurate (12:0),laurate (12:0),143-07-7,3756,HMDB0000638,C02679,3893,Neg,laurate
14,189,400,1498,155380,Amino Acid,Lysine Metabolism,118.0,NAMED,MXNRLFUSFKVQSK-UHFFFAOYSA-N,C[N+](C)(CCCCC(C([O-])=O)N)C,"N6,N6,N6-trimethyllysine","N6,N6,N6-trimethyllysine",23284-33-5,140379,HMDB0001325,C03793,440120,Pos Early,NNNtrimethyllysine
15,194,209,2829,124831,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",443.0,NAMED,PYUSHNKNPOHWEZ-UHFFFAOYSA-N,CSCCC(C(O)=O)NC=O,N-formylmethionine,N-formylmethionine,4289-98-9,388809,HMDB0001015,C03145,439750,Neg,Nformylmethionine
16,208,305,3108,146460,Nucleotide,"Purine Metabolism, Adenine containing",4159.0,NAMED,XTWYTFMLZFPYCI-KQYNXXCUSA-N,NC1=NC=NC2=C1N=CN2[C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](COP(OP(O)(O)=O)(O)=O)([H])O3,adenosine 5'-diphosphate (ADP),ADP,20398-34-9,5800,HMDB0001341,C00008,6022,Polar,ADP
17,209,400,32342,155907,Nucleotide,"Purine Metabolism, Adenine containing",4160.0,NAMED,UDMBCSSLTHHNCD-UHFFFAOYSA-N,NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(O)=O,adenosine 5'-monophosphate (AMP),AMP,149022-20-8,10239183,HMDB0000045,C00020,6083,Pos Early,AMP
18,211,400,1553,155395,Nucleotide,"Purine Metabolism, Adenine containing",4190.0,NAMED,OLXZPDWKRNYJJZ-UHFFFAOYSA-N,NC1=C(N=CN2C(CC3O)OC3CO)C2=NC=N1,2'-deoxyadenosine,2'-deoxyadenosine,16373-93-6,13135,HMDB0000101,C00559,13730,Pos Early,deoxyadenosine
19,212,400,1419,155365,Amino Acid,Polyamine Metabolism,564.0,NAMED,WUUGFSXJNOTRMR-IOSLPCCCSA-N,NC1=NC=NC2=C1N=CN2[C@H]3[C@H](O)[C@H](O)[C@@H](CSC)O3,5-methylthioadenosine (MTA),5-methylthioadenosine (MTA),2457-80-9,388321,HMDB0001173,C00170,439176,Pos Early,methylthioadenosineMTA
20,215,400,558,155321,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4347.0,NAMED,SDMADEZQMYCSNO-UHFFFAOYSA-N,NC1=NC=NC2=C1N=CN2C3OC(C(C3O)O)COP(O)(OP(O)(OC4OC(C(C4O)O)CO)=O)=O,adenosine 5'-diphosphoribose (ADP-ribose),adenosine 5'-diphosphoribose (ADP-ribose),68414-18-6,3674071,HMDB0001178,C00301,192,Pos Early,adenosinediphosphoriboseADPribose
21,216,400,38325,156507,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",4135.0,NAMED,NOTGFIUVDGNKRI-UHFFFAOYSA-N,NC(C1=C(N(C2OC(C(C2O)O)COP(O)(O)=O)C=N1)N)=O,AICA ribonucleotide,AICA ribonucleotide,3031-94-5,195,HMDB0001517,C04677,65110,Pos Early,AICAribonucleotide
22,219,305,1763,147132,Carbohydrate,Pentose Phosphate Pathway,1272.0,NAMED,YXJDFQJKERBOBM-TXICZTDVSA-N,O[C@@H]1[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(O)=O,ribose 1-phosphate,ribose 1-phosphate,"50-99-7,58459-37-3",388373,HMDB0001489,C00620,439236,Polar,ribosephosphate
23,229,209,1110,125971,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),1591.0,NAMED,YZXBAPSDXZZRGB-DOFZRALJSA-N,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(O)=O,arachidonate (20:4n6),arachidonate (20:4n6),506-32-1,392692,HMDB0001043,C00219,444899,Neg,arachidonaten
24,231,400,1638,155435,Amino Acid,Urea cycle; Arginine and Proline Metabolism,490.0,NAMED,ODKSFYDXXFIFQN-UHFFFAOYSA-N,N=C(N)NCCCC(N)C(O)=O,arginine,arginine,1119-34-2,227,HMDB0000517,C00062,6322,Pos Early,arginine
25,232,400,15497,155552,Amino Acid,Urea cycle; Arginine and Proline Metabolism,491.0,NAMED,KDZOASGQNOPSCU-UHFFFAOYSA-N,NC(C(O)=O)CCCNC(NC(C(O)=O)CC(O)=O)=N,argininosuccinate,argininosuccinate,156637-58-0,805,HMDB0000052,C03406,60150382,Pos Early,argininosuccinate
26,233,400,32354,155914,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,4369.0,NAMED,CIWBSHSKHKDKBQ-UHFFFAOYSA-N,OCC(O)C1OC(C(O)=C1O)=O,ascorbate (vitamin C),ascorbate (vitamin C),"134-03-2,50-81-7",10189562,HMDB0000044,"D00018,C00072",54670067,Pos Early,ascorbatevitaminC
27,234,400,443,155304,Amino Acid,Alanine and Aspartate Metabolism,36.0,NAMED,CKLJMWTZIZZHCS-UHFFFAOYSA-N,NC(C(O)=O)CC(O)=O,aspartate,aspartate,56-84-8,5745,HMDB0000191,C00049,5960,Pos Early,aspartate
28,240,209,32197,123321,Amino Acid,Tyrosine Metabolism,186.0,NAMED,JVGVDSSUAVXRDY-UHFFFAOYSA-N,OC(C(O)=O)CC1=CC=C(O)C=C1,3-(4-hydroxyphenyl)lactate,3-(4-hydroxyphenyl)lactate (HPLA),6482-98-0,9010,HMDB0000755,C03672,9378,Neg,hydroxyphenyllactateHPLA
29,244,400,55,155295,Nucleotide,"Pyrimidine Metabolism, Uracil containing",4260.0,NAMED,UCMIRNVEIXFBKS-UHFFFAOYSA-N,NCCC(O)=O,beta-alanine,beta-alanine,"107-95-9,56-41-7",234,HMDB0000056,C00099,239,Pos Early,betaalanine
30,249,400,1768,155446,Amino Acid,Histidine Metabolism,86.0,NAMED,CQOVPNPJLQNMDC-ZETCQYMHSA-N,OC([C@H](CC1=CNC=N1)NC(CCN)=O)=O,carnosine,carnosine,305-84-0,388363,HMDB0000033,C00386,439224,Pos Early,carnosine
31,250,402,2137,158009,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,4433.0,NAMED,QBUVFDKTZJNUPP-YBRAVLHJSA-N,CC1=C(/C=C(N2)/C(C=C)=C(C)C2=O)NC(/C=C3C(CCC(O)=O)=C(C)C(/C=C(N4)\C(C)=C(C=C)C4=O)=N\3)=C1CCC(O)=O,biliverdin,biliverdin,"55482-27-4,55482-27-4",10628548,HMDB0001008,C00500,5280353,Pos Late,biliverdin
32,252,305,1437,147106,Energy,TCA Cycle,1466.0,NAMED,KDYFGRWQOYBRFD-UHFFFAOYSA-N,OC(CCC(O)=O)=O,succinate,succinate,110-15-6,1078,HMDB0000254,C00042,1110,Polar,succinate
33,254,305,542,145710,Lipid,Ketone Bodies,1956.0,NAMED,WHBMMWSBFZVSSR-UHFFFAOYSA-N,CC(O)CC(O)=O,3-hydroxybutyrate (BHBA),3-hydroxybutyrate (BHBA),625-72-9,428,"HMDB0000442,HMDB0000357,HMDB0000011","C03197,C01089","94318,441,92135",Polar,hydroxybutyrateBHBA
34,266,402,63,164177,Lipid,Sterol,3213.0,NAMED,HVYWMOMLDIMFJA-LBHVWCRMSA-N,CC1(C2C(C)CCCC(C)C)C(CC2)C(CC=C3C4(CC[C@H](O)C3)C)C4CC1,cholesterol,cholesterol,57-88-5,4937803,HMDB0000067,C00187,"5997,6432564,11025495",Pos Late,cholesterol
35,267,400,34396,156099,Lipid,Phospholipid Metabolism,2251.0,NAMED,YHHSONZFOIEMCP-UHFFFAOYSA-N,C[N+](C)(CCOP(O)([O-])=O)C,choline phosphate,phosphocholine,72556-74-2,119298,HMDB0001565,C00588,1014,Pos Early,phosphocholine
36,275,400,513,155307,Amino Acid,Creatine Metabolism,537.0,NAMED,DDRJAANPRJIHGJ-UHFFFAOYSA-N,CN(C(N1)=N)CC1=O,creatinine,creatinine,60-27-5,568,HMDB0000562,C00791,588,Pos Early,creatinine
