MouseID,alphaketoglutarate,hydroxyisobutyrate,hydroxymethylglutarate,phosphoglycerate,hypoxanthine,succinate,hydroxybutyrateBHBA,dihydroxyacetonephosphateDHAP,fumarate,isoleucine,leucine,malate,lactate,valine,glucose,malonate,pyruvate,Nacetylleucine,citrate,methylsuccinate,ethylmalonate,carnitine,methyloxovalerate,methyloxopentanoate,alphahydroxyisocaproate,acetylcarnitineC,methyloxobutyrate,butyrylcarnitineC,isobutyrylcarnitineC,butyrylglycineC,propionylcarnitineC,Nacetylisoleucine,alphahydroxyisovalerate,aconitatecisortrans,isovalerylcarnitineC,isovalerylglycine,methylbutyrylcarnitineC,malonylcarnitine,hydroxymethylvalerate,betahydroxyisovaleroylcarnitine,tiglylcarnitineC,deoxycarnitine,succinylcarnitineCDC,hydroxyglutarate,methylglutaconate,hydroxybutyratehydroxyisobutyrate,dihydroxymethylbutyrate,Group,Tx,Ex,avg_dVO2,avg_VO2
VS100,0.054175496,-0.357351433,-0.203784596,0.334079924,0.064319093,-0.423139621,-0.549923255,-0.806116175,0.407367536,0.036038355,0.322949127,0.741490159,0.435556224,0.106221515,0.647798781,0.324105424,0.412734953,-0.296633982,-0.46669836,0.496681483,-0.080675576,0.569074779,-0.384300125,-0.168214022,0.152018365,-0.001974766,-0.606571567,0.159632043,-0.658950449,-0.556114602,-0.421479708,-0.384520061,0.129207163,-0.547575876,-0.529539108,-0.383879991,-0.502765418,0.432090839,-0.358372207,0.132406997,-0.375649818,0.156750358,0.466378518,-0.002707702,-0.504697931,-0.391485541,0.600774955,VS,V,S,-0.818040707,-0.794508099
VS23,0.060153957,-0.356430471,-0.157319415,0.261405649,0.02619012,-0.417654952,-0.548296738,-0.776867797,0.338374767,0.043714485,0.319246572,0.673792514,0.42369409,0.135909089,0.644055839,0.2606339,0.371261344,-0.250949661,-0.396812175,0.483724611,-0.09343964,0.5698094,-0.350555965,-0.152608095,0.149120209,-0.030169364,-0.556636179,0.113198132,-0.632122007,-0.455992174,-0.426769955,-0.359909848,0.151757547,-0.500387041,-0.505972073,-0.330246075,-0.496024073,0.402497149,-0.316081249,0.171803452,-0.365729943,0.19618304,0.478098158,0.009820472,-0.449363734,-0.338821361,0.533053657,VS,V,S,-0.818040707,-0.671035698
VS43,0.02790295,-0.36139863,-0.407977385,0.653449444,0.231878134,-0.447242181,-0.55707104,-0.934649149,0.710558557,0.002305347,0.339220127,1.038989713,0.487684765,-0.02424152,0.664247264,0.60303315,0.594992107,-0.497395254,-0.773815527,0.553620889,-0.024583472,0.565846464,-0.532589959,-0.23679479,0.164754407,0.121927331,-0.826014293,0.363687409,-0.776848928,-0.996105942,-0.398231541,-0.492670464,0.030108749,-0.754948782,-0.633105226,-0.619576021,-0.532390485,0.562141295,-0.54422123,-0.040722037,-0.419243037,-0.016537877,0.414876168,-0.057763179,-0.747865904,-0.62292003,0.898378457,VS,V,S,-0.818040707,-1.337111676
VS61,0.009946755,-0.364164721,-0.547534685,0.871725263,0.346397787,-0.463715281,-0.561956255,-1.022496105,0.917777042,-0.020749766,0.350340681,1.242318317,0.523312461,-0.113407592,0.675489119,0.793668679,0.719557312,-0.634607254,-0.98371737,0.59253661,0.013753154,0.563640044,-0.633939909,-0.2836669,0.173458964,0.206609275,-0.975994292,0.503150786,-0.857427647,-1.296821771,-0.382342383,-0.566586778,-0.037620905,-0.89667956,-0.703888371,-0.78066448,-0.552637989,0.651025386,-0.671241328,-0.159048549,-0.449037194,-0.134973197,0.379676449,-0.095391314,-0.914061125,-0.781095902,1.101778104,VS,V,S,-0.818040707,-1.707958711
VS73,0.118882547,-0.347383531,0.299124916,-0.452500108,-0.348364607,-0.36377706,-0.532318867,-0.489550366,-0.339366224,0.119119894,0.282875034,0.008773998,0.307168049,0.4275409,0.607287564,-0.362869898,-0.036148955,0.197823995,0.289705164,0.356444559,-0.218825668,0.577025846,-0.019074844,0.00069459,0.120650573,-0.30713512,-0.066102754,-0.34293901,-0.368576499,0.527546738,-0.478737972,-0.118154796,0.373278148,-0.036834004,-0.274464546,0.196619333,-0.429801392,0.111787601,0.099358169,0.558809117,-0.268283417,0.583544579,0.593224435,0.132889268,0.094204153,0.17851797,-0.132197219,VS,V,S,-0.818040707,0.541878473
VS84,0.053991271,-0.357379812,-0.205216414,0.336319371,0.065494032,-0.42330863,-0.549973376,-0.80701746,0.409493539,0.035801817,0.323063221,0.743576252,0.435921754,0.105306696,0.647914119,0.32606129,0.414012956,-0.298041738,-0.468851893,0.497080748,-0.080282253,0.569052142,-0.385339946,-0.168694917,0.152107671,-0.001105954,-0.608110319,0.161062897,-0.659777163,-0.55919986,-0.42131669,-0.385278422,0.128512276,-0.549029993,-0.530265323,-0.385532712,-0.502973152,0.433002764,-0.359675397,0.131193001,-0.375955497,0.155535246,0.466017379,-0.003093755,-0.506403047,-0.39310838,0.602861778,VS,V,S,-0.818040707,-0.798312884
HS103,0.464302997,-0.481171577,-0.060601824,-0.675272302,-0.914781458,0.157245102,-0.062864763,0.266759691,-0.360064996,-0.665819232,-0.606176901,-0.234650112,0.585731811,-0.662089543,0.698932025,0.007505625,0.056878895,-0.761309733,0.758477758,0.10015281,-0.362590491,0.254857668,0.326511174,0.259333065,-0.02123693,-0.466614595,0.266897391,-0.014478145,-0.387402766,0.011701761,-0.395939082,-0.814335359,0.165919263,0.315200335,-0.605751293,-0.462349348,-0.39305062,-0.357301299,-0.091772732,-0.112561867,-0.629356503,0.08054612,-0.067050951,-0.068518163,-0.23923577,-0.388711667,-0.890413884,HS,H,S,-0.550738094,0.362544202
HS41,0.420713264,-0.487886428,-0.399385482,-0.145394752,-0.636778179,0.117255671,-0.074723913,0.053505974,0.142970219,-0.72178689,-0.579181094,0.258942184,0.672220165,-0.878545493,0.726222299,0.470284726,0.359268347,-1.094400036,0.248928533,0.194623042,-0.269526048,0.249501452,0.080478134,0.145548226,-0.000106101,-0.261044133,-0.097187991,0.32407751,-0.583012407,-0.718303823,-0.357367205,-0.993771613,0.001501492,-0.028859571,-0.777581594,-0.853401176,-0.442202642,-0.141529873,-0.400121585,-0.399806523,-0.701683594,-0.206962673,-0.152500366,-0.159862702,-0.642684569,-0.772693018,-0.396649126,HS,H,S,-0.550738094,-0.537709064
HS53,0.386804999,-0.493109881,-0.662923821,0.266794698,-0.420520633,0.086148065,-0.083949093,-0.112383168,0.534279132,-0.765323889,-0.558181173,0.642905492,0.73949908,-1.046925639,0.747451285,0.830278584,0.594495792,-1.35350954,-0.147447602,0.268111025,-0.197131621,0.245334876,-0.110909902,0.057035494,0.01633148,-0.101131762,-0.380408431,0.587438487,-0.735176299,-1.286172004,-0.327362308,-1.133354297,-0.126398379,-0.296502282,-0.911247641,-1.157598699,-0.480437788,0.026317785,-0.639984821,-0.623252897,-0.757946524,-0.430614518,-0.218971096,-0.230919223,-0.956525642,-1.071390447,-0.012551659,HS,H,S,-0.550738094,-1.238012179
HS71,0.473541245,-0.479748457,0.011198744,-0.78757261,-0.973700455,0.165720316,-0.060351379,0.311955904,-0.466676438,-0.653957652,-0.611898293,-0.339260257,0.567401786,-0.616214661,0.693148225,-0.090574084,-0.007208419,-0.690715793,0.866469756,0.080131135,-0.382314228,0.255992844,0.378654516,0.283448207,-0.025715321,-0.510182446,0.344060314,-0.086230392,-0.345945975,0.166416472,-0.404113864,-0.776306296,0.200765363,0.388119132,-0.569334208,-0.379471255,-0.38263352,-0.403031105,-0.026422405,-0.051684286,-0.614027764,0.141479681,-0.048941115,-0.049158936,-0.153730309,-0.307332065,-0.99506058,HS,H,S,-0.550738094,0.553340583
