,Metabolite,p_value,Ex,adj_p,reject
0,oxoadipate,0.9391465705451115,R,0.9849013423120215,False
1,Nformylmethionine,0.5356918323954167,R,0.8980457111593855,False
2,AMP,0.5497786416552652,R,0.8980457111593855,False
3,methylthioadenosineMTA,0.9464419942154078,R,0.9856045105138099,False
4,adenosinediphosphoriboseADPribose,0.18414636784021335,R,0.8980457111593855,False
5,aspartate,0.32750039696967476,R,0.8980457111593855,False
6,hydroxyphenyllactateHPLA,0.618037905051358,R,0.9021406358308393,False
7,carnosine,0.5233405181312947,R,0.8980457111593855,False
8,cholesterol,0.20633643765347376,R,0.8980457111593855,False
9,creatinine,0.8824954643358723,R,0.9728837308059735,False
10,fumarate,0.28358690062754316,R,0.8980457111593855,False
11,gluconate,0.0752566686364324,R,0.7826693538188969,False
12,glycine,0.9355821270223076,R,0.9849013423120215,False
13,guanidinoacetate,0.979235238561791,R,0.9956546244134316,False
14,histidine,0.44394969407112916,R,0.8980457111593855,False
15,hypotaurine,0.3889977825663502,R,0.8980457111593855,False
16,aminoadipate,0.3317238830231225,R,0.8980457111593855,False
17,malate,0.2917938855483865,R,0.8980457111593855,False
18,nicotinamide,0.11382854717000987,R,0.8300888770982187,False
19,stearate,0.1651634736526202,R,0.886600463868835,False
20,phosphate,0.43188773588210916,R,0.8980457111593855,False
21,lactate,0.4896696819423044,R,0.8980457111593855,False
22,salicylate,0.4450965716597085,R,0.8980457111593855,False
23,serine,0.6751812398669896,R,0.9166951559551818,False
24,pyridoxamine,0.26849196376779144,R,0.8980457111593855,False
25,glucose,0.4445811951052463,R,0.8980457111593855,False
26,betaine,0.828435504566638,R,0.9614497559574943,False
27,cysteine,0.9937216273035426,R,0.9956546244134316,False
28,alanine,0.3709686929836834,R,0.8980457111593855,False
29,UMP,0.08027215545879605,R,0.8018924043168318,False
30,maltose,0.7028601740154814,R,0.936942488943452,False
31,asparagine,0.499400070986753,R,0.8980457111593855,False
32,xanthine,0.690249494075039,R,0.9250766415438666,False
33,sarcosine,0.2879518253972391,R,0.8980457111593855,False
34,alphatocopherol,0.1488933295282592,R,0.886600463868835,False
35,Nacetylalanine,0.291551712665445,R,0.8980457111593855,False
36,citrate,0.452349230810145,R,0.8980457111593855,False
37,Nacetylglucosaminylasparagine,0.791193518582977,R,0.9479738010671613,False
38,creatine,0.8198929395256203,R,0.9614497559574943,False
39,HHTrE,0.37840742607990063,R,0.8980457111593855,False
40,nicotinamideribonucleotideNMN,0.504423464368243,R,0.8980457111593855,False
41,stearoylsphingomyelind,0.5635852914235884,R,0.8980457111593855,False
42,palmitoyloleoylGPC,0.588910745202597,R,0.8980457111593855,False
43,methylsuccinate,0.10109485087749513,R,0.8087588070199611,False
44,carnitine,0.6026537856016982,R,0.9021406358308393,False
