,Metabolite,p_value,Ex,adj_p,reject
0,oxoadipate,0.7456045341554268,R,0.9011560628428644,False
1,oxoadipate,0.8655210605512709,S,0.9524048696152252,False
2,kynurenate,0.05509979457460556,R,0.31200383259288866,False
3,kynurenate,0.05343935969894973,S,0.3111143720327467,False
4,Nformylmethionine,0.14448481391166115,R,0.46765411880876384,False
5,Nformylmethionine,0.7259053729810439,S,0.8919003220158087,False
6,AMP,0.007018471533491068,R,0.17373255739604632,False
7,AMP,0.5588482343147244,S,0.7982446542484424,False
8,adenosinediphosphoriboseADPribose,0.38385467911261295,R,0.6937900089694876,False
9,adenosinediphosphoriboseADPribose,0.21496931488280216,S,0.5428874054966366,False
10,hydroxyphenyllactateHPLA,0.3973498054361204,R,0.6970233764603281,False
11,hydroxyphenyllactateHPLA,0.45579259797089255,S,0.7269095709663902,False
12,betaalanine,0.8317828909034498,R,0.9426872763572431,False
13,betaalanine,0.3708864477327304,S,0.6863662767039076,False
14,carnosine,0.10426909423889714,R,0.42907559811800133,False
15,carnosine,0.1741121637838548,S,0.5000493208350145,False
16,phosphocholine,0.24369362470750042,R,0.5671858452276825,False
17,phosphocholine,0.521676949868453,S,0.7684001341924394,False
18,creatinine,0.4722523367996816,R,0.7341626124476718,False
19,creatinine,0.3867758155802009,S,0.6937900089694876,False
20,CMP,0.13948458363173902,R,0.46765411880876384,False
21,CMP,0.26217067414935047,S,0.5821648588712558,False
22,dihydroxyacetonephosphateDHAP,0.1612672179281099,R,0.4897881719709225,False
23,dihydroxyacetonephosphateDHAP,0.12029821284261194,S,0.4620342471029206,False
24,FAD,0.16047034950371744,R,0.4894345659863382,False
25,FAD,0.6797565252069198,S,0.8596433129750923,False
26,gammaglutamylglutamate,0.1494347526828793,R,0.4741800296554119,False
27,gammaglutamylglutamate,0.6735177767393765,S,0.8569790607101023,False
28,gluconate,0.39402457058572515,R,0.6970233764603281,False
29,gluconate,0.2517090022668701,S,0.5762080250568307,False
30,glutarateCDC,0.15930487877902083,R,0.48850268407335456,False
31,glutarateCDC,0.7938754793314221,S,0.9249987326591962,False
32,glycine,0.1545282763894775,R,0.4812186865341987,False
33,glycine,0.3256592434306488,S,0.6374791056482763,False
34,GMP,0.6831639345808485,R,0.8629001219979779,False
35,GMP,0.5744633547269364,S,0.8141192051355234,False
36,hypotaurine,0.5746723800956636,R,0.8141192051355234,False
37,hypotaurine,0.47617570062726944,S,0.7348127999263072,False
38,inosinemonophosphateIMP,0.17204267056980221,R,0.4983470653097343,False
39,inosinemonophosphateIMP,0.4870579439544671,S,0.745475841643739,False
