,Metabolite,p_value,Ex,adj_p,reject
0,putrescine,0.040532827148543345,R,0.8119185356912182,False
1,putrescine,0.6317568575350161,S,0.9783283382312842,False
2,methylnicotinamide,0.5855049937088106,R,0.9783283382312842,False
3,methylnicotinamide,0.7445769823309183,S,0.9783283382312842,False
4,hypoxanthine,0.47537633935841084,R,0.9783283382312842,False
5,hypoxanthine,0.5746424971073836,S,0.9783283382312842,False
6,NNNtrimethyllysine,0.7076427983126781,R,0.9783283382312842,False
7,NNNtrimethyllysine,0.9755435890303661,S,0.9783283382312842,False
8,methylthioadenosineMTA,0.4396377877829146,R,0.9783283382312842,False
9,methylthioadenosineMTA,0.5422527671172268,S,0.9783283382312842,False
10,ribosephosphate,0.9438960429289751,R,0.9783283382312842,False
11,ribosephosphate,0.17357172079962332,S,0.9783283382312842,False
12,arginine,0.1005122628999125,R,0.9783283382312842,False
13,arginine,0.5692276777662375,S,0.9783283382312842,False
14,argininosuccinate,0.028983860770115628,R,0.6733037595375526,False
15,argininosuccinate,0.9339136081705616,S,0.9783283382312842,False
16,hydroxyphenyllactateHPLA,0.5955628747982122,R,0.9783283382312842,False
17,hydroxyphenyllactateHPLA,0.8685073998919667,S,0.9783283382312842,False
18,betaalanine,0.4814759807386194,R,0.9783283382312842,False
19,betaalanine,0.41411294952047173,S,0.9783283382312842,False
20,biliverdin,0.32325917420792094,R,0.9783283382312842,False
21,biliverdin,0.7557921446377575,S,0.9783283382312842,False
22,succinate,0.23125968686919923,R,0.9783283382312842,False
23,succinate,0.9863315192285169,S,0.9813184952270542,False
24,cholesterol,0.8548708489250069,R,0.9783283382312842,False
25,cholesterol,0.8702999963039137,S,0.9783283382312842,False
26,corticosterone,0.20240166288063047,R,0.9783283382312842,False
27,corticosterone,0.37968946152769434,S,0.9783283382312842,False
28,creatinine,0.5238972869228331,R,0.9783283382312842,False
29,creatinine,0.5850131128248189,S,0.9783283382312842,False
30,cystine,0.20982666774050684,R,0.9783283382312842,False
31,cystine,0.5028584051366924,S,0.9783283382312842,False
32,sphingosine,0.17372122646391033,R,0.9783283382312842,False
33,sphingosine,0.528420764822316,S,0.9783283382312842,False
34,fumarate,0.8174045177563025,R,0.9783283382312842,False
35,fumarate,0.9173458399315051,S,0.9783283382312842,False
36,glycine,0.6048610677079514,R,0.9783283382312842,False
37,glycine,0.8422266915263907,S,0.9783283382312842,False
38,histamine,0.7002639317419295,R,0.9783283382312842,False
39,histamine,0.3315000974032206,S,0.9783283382312842,False
40,inosine,0.13138822754416907,R,0.9783283382312842,False
41,inosine,0.4659290609297294,S,0.9783283382312842,False
42,myoinositol,0.872745156428564,R,0.9783283382312842,False
43,myoinositol,0.14074611489817312,S,0.9783283382312842,False
44,isoleucine,0.14630337066781238,R,0.9783283382312842,False
45,isoleucine,0.4677906610139988,S,0.9783283382312842,False
46,citrulline,0.054694887907146085,R,0.9622012335615292,False
47,citrulline,0.3510178655405014,S,0.9783283382312842,False
48,leucine,0.41956019280662904,R,0.9783283382312842,False
49,leucine,0.4720863573928249,S,0.9783283382312842,False
50,lysine,0.7536718479935225,R,0.9783283382312842,False
51,lysine,0.8804523266613127,S,0.9783283382312842,False
52,malate,0.9816322398806144,R,0.9792024571086326,False
53,malate,0.826427994428869,S,0.9783283382312842,False
54,methionine,0.974356092075108,R,0.9783283382312842,False
55,methionine,0.7063520237504299,S,0.9783283382312842,False
56,methylmalonateMMA,0.797512334439848,R,0.9783283382312842,False
57,methylmalonateMMA,0.773648448205445,S,0.9783283382312842,False
58,palmitate,0.6980179297997217,R,0.9783283382312842,False
59,palmitate,0.5722729589347713,S,0.9783283382312842,False
60,nicotinamide,0.2894427493356668,R,0.9783283382312842,False
61,nicotinamide,0.9096703040929465,S,0.9783283382312842,False
62,pelargonate,0.5896307096125473,R,0.9783283382312842,False
63,pelargonate,0.8527102865054127,S,0.9783283382312842,False
64,ornithine,0.8015240482506598,R,0.9783283382312842,False
65,ornithine,0.018049385554449973,S,0.5194832782847576,False
66,palmitoleaten,0.8015682960350167,R,0.9783283382312842,False
67,palmitoleaten,0.6644889664189215,S,0.9783283382312842,False
68,phenylalanine,0.7735308626204971,R,0.9783283382312842,False
69,phenylalanine,0.4229533079198843,S,0.9783283382312842,False
70,proline,0.7226151071866382,R,0.9783283382312842,False
71,proline,0.9467449559404562,S,0.9783283382312842,False
72,pyridoxal,0.32428160800211336,R,0.9783283382312842,False
73,pyridoxal,0.9576808468427433,S,0.9783283382312842,False
74,retinolvitaminA,0.47436822715671534,R,0.9783283382312842,False
75,retinolvitaminA,0.9275637913620617,S,0.9783283382312842,False
76,riboflavinvitaminB,0.2554263667849658,R,0.9783283382312842,False
77,riboflavinvitaminB,0.13608700750514194,S,0.9783283382312842,False
78,serine,0.5932444152555214,R,0.9783283382312842,False
79,serine,0.9910586291747172,S,0.9813184952270542,False
80,serotonin,0.4850020286282142,R,0.9783283382312842,False
81,serotonin,0.22355874475652288,S,0.9783283382312842,False
82,taurine,0.8468915363230365,R,0.9783283382312842,False
83,taurine,0.8846938954379862,S,0.9783283382312842,False
84,myristate,0.7396310242734849,R,0.9783283382312842,False
85,myristate,0.8136877165265308,S,0.9783283382312842,False
86,uridine,0.2118538649812575,R,0.9783283382312842,False
87,uridine,0.7335729757170213,S,0.9783283382312842,False
88,deoxyuridine,0.7400355786820947,R,0.9783283382312842,False
89,deoxyuridine,0.7606051725072244,S,0.9783283382312842,False
90,glutamine,0.4520036411313797,R,0.9783283382312842,False
91,glutamine,0.6554290937456986,S,0.9783283382312842,False
92,threonine,0.9904263508679099,R,0.9813184952270542,False
93,threonine,0.7481304498502266,S,0.9783283382312842,False
94,tryptophan,0.4363284925202041,R,0.9783283382312842,False
95,tryptophan,0.483269407892575,S,0.9783283382312842,False
96,valine,0.461211670276355,R,0.9783283382312842,False
97,valine,0.5511107492516025,S,0.9783283382312842,False
98,pyridoxamine,0.17364579595314356,R,0.9783283382312842,False
99,pyridoxamine,0.3044537544927651,S,0.9783283382312842,False
100,glucose,0.29082131489902596,R,0.9783283382312842,False
101,glucose,0.7917865804077494,S,0.9783283382312842,False
102,betaine,0.3838353459136864,R,0.9783283382312842,False
103,betaine,0.9024903593005908,S,0.9783283382312842,False
104,mannose,0.2907375992607888,R,0.9783283382312842,False
105,mannose,0.650125301475865,S,0.9783283382312842,False
106,dimethylglycine,0.22442438948278826,R,0.9783283382312842,False
107,dimethylglycine,0.9995875575931248,S,0.9814014511161988,False
108,alanine,0.9672013007579723,R,0.9783283382312842,False
109,alanine,0.9060663773761439,S,0.9783283382312842,False
110,malonate,0.17281016774539362,R,0.9783283382312842,False
111,malonate,0.510198454157602,S,0.9783283382312842,False
112,uracil,0.856012824701196,R,0.9783283382312842,False
113,uracil,0.9986776091737173,S,0.9814014511161988,False
114,cytidine,0.3403338110742883,R,0.9783283382312842,False
115,cytidine,0.9126982175820906,S,0.9783283382312842,False
116,arabinose,0.2658163005562774,R,0.9783283382312842,False
117,arabinose,0.3125847001162893,S,0.9783283382312842,False
118,fructose,0.49617337978759823,R,0.9783283382312842,False
119,fructose,0.8261925688403631,S,0.9783283382312842,False
120,adenine,0.71664295453056,R,0.9783283382312842,False
121,adenine,0.8336717182524147,S,0.9783283382312842,False
122,caprate,0.8128227628001714,R,0.9783283382312842,False
123,caprate,0.4108573966835255,S,0.9783283382312842,False
124,maltose,0.00011280315895627323,R,0.013987591710577882,True
125,maltose,0.00820825225411491,S,0.3428955804258559,False
126,ribose,0.6309859244559706,R,0.9783283382312842,False
127,ribose,0.3388407229671727,S,0.9783283382312842,False
128,asparagine,0.7536815030528655,R,0.9783283382312842,False
129,asparagine,0.8693289670217816,S,0.9783283382312842,False
