,Metabolite,p_value,Ex,adj_p,reject
0,mevalonate,0.48915978113917546,R,0.7376364459727585,False
1,mevalonate,0.11451144937753838,S,0.39770731016984406,False
2,putrescine,0.21351240932442636,R,0.5304716737008099,False
3,putrescine,0.007714807470565788,S,0.14955572554385968,False
4,oxoadipate,0.706123853340914,R,0.8587704308582997,False
5,oxoadipate,0.21327179060682527,S,0.5304716737008099,False
6,alphaketoglutarate,0.44746504374609697,R,0.7041455296009974,False
7,alphaketoglutarate,0.08883875971716544,S,0.373068194360015,False
8,hydroxymethylglutarate,0.5226827913084982,R,0.7549341213782528,False
9,hydroxymethylglutarate,0.040095237889748156,S,0.2670480613533645,False
10,hypoxanthine,0.27558573083635396,R,0.582658710221209,False
11,hypoxanthine,0.013711982901658159,S,0.16841664495242734,False
12,linoleaten,0.5021341695550506,R,0.7434836436900876,False
13,linoleaten,0.41452619857999595,S,0.68407451642586,False
14,laurate,0.6289503939081835,R,0.8169916880533885,False
15,laurate,0.7221657633567432,S,0.8671378457022386,False
16,NNNtrimethyllysine,0.7673573078932054,R,0.8914641937907348,False
17,NNNtrimethyllysine,0.03292946230119675,S,0.24628953956378546,False
18,glycolatehydroxyacetate,0.5880565558174926,R,0.7989235829423227,False
19,glycolatehydroxyacetate,0.0773647828103289,S,0.3504668899644257,False
20,methylthioadenosineMTA,0.8682949081476556,R,0.9307704911456216,False
21,methylthioadenosineMTA,0.02281930696109568,S,0.21346665639769158,False
22,arginine,0.2574787678637462,R,0.5697252987478543,False
23,arginine,0.06733058413259548,S,0.3283566504827943,False
24,argininosuccinate,0.26744105449926425,R,0.5768266175460003,False
25,argininosuccinate,0.21261968111580656,S,0.5304716737008099,False
26,hydroxyphenyllactateHPLA,0.19407239928102357,R,0.5169908782171638,False
27,hydroxyphenyllactateHPLA,0.25874643369257716,S,0.5697252987478543,False
28,betaalanine,0.9354853273511048,R,0.9634554625713696,False
29,betaalanine,0.012217900460733429,S,0.1611098726376757,False
30,biliverdin,0.2489738761915062,R,0.5685521631081386,False
31,biliverdin,0.011124868060784101,S,0.158406307166386,False
32,succinate,0.22122694920869584,R,0.5376951076688695,False
33,succinate,0.012911821483864938,S,0.16488191085348167,False
34,cholesterol,0.11334098791781627,R,0.3964470642603617,False
35,cholesterol,0.14915603404949135,S,0.45800011218631986,False
36,corticosterone,0.1429178203761015,R,0.4468471913568731,False
37,corticosterone,0.06920808232859035,S,0.33318788966603385,False
38,creatinine,0.8488862108059783,R,0.9231195191937865,False
39,creatinine,0.102122232201816,S,0.38435289055025973,False
40,deoxycholate,0.34866836138666535,R,0.6342400846949968,False
41,deoxycholate,0.23285558073191598,S,0.5493616266827754,False
42,FAD,0.6032468695176947,R,0.8048293640580189,False
43,FAD,0.00024332549687853318,S,0.04396515678076729,True
44,gammaglutamylglutamate,0.21067550907533986,R,0.5304716737008099,False
45,gammaglutamylglutamate,0.06161253322035059,S,0.31920462315626313,False
46,gluconate,0.48415713329562593,R,0.7356079579534109,False
47,gluconate,0.0006545742589744534,S,0.07021399884599304,True
48,glycine,0.6068166060114454,R,0.8076406926980126,False
49,glycine,0.015285941118711585,S,0.17320478352117566,False
50,guanidinoacetate,0.8586874410070418,R,0.9272671762284096,False
51,guanidinoacetate,0.0038644885752256953,S,0.12584790338733423,False
52,histamine,0.173795348805332,R,0.4842293578507737,False
53,histamine,0.020128284162500003,S,0.19509885070760546,False
54,hypotaurine,0.8396889457950538,R,0.9216838833043508,False
55,hypotaurine,0.11151708957740204,S,0.3943538398462415,False
56,inosine,0.7774758977854545,R,0.8980769954035435,False
57,inosine,0.10317160137200937,S,0.38515801997114407,False
58,isoleucine,0.5192148451973144,R,0.7539861786303963,False
59,isoleucine,0.7271021794912083,S,0.8707297565651428,False
60,aminoadipate,0.7872949512039423,R,0.900154200969796,False
61,aminoadipate,0.05367169371020598,S,0.30688946390638094,False
62,citrulline,0.014660752573890705,R,0.1730609360536311,False
63,citrulline,0.5468134575449131,S,0.7704284713266281,False
64,leucine,0.4039590236122259,R,0.6770521552000744,False
65,leucine,0.7945200586636485,S,0.9028861861292758,False
66,lysine,0.20878270212812503,R,0.5304716737008099,False
67,lysine,0.26916871063345776,S,0.5778290223848904,False
68,methionine,0.6465860474553289,R,0.8257257194773386,False
69,methionine,0.45170892605014434,S,0.7097652949362131,False
70,palmitate,0.4143128569823302,R,0.68407451642586,False
71,palmitate,0.3411858681533737,S,0.6320379701882526,False
72,pelargonate,0.514757713557138,R,0.75364468553978,False
73,pelargonate,0.9480463905151725,S,0.9643854738175844,False
74,ornithine,0.9643321720833143,R,0.970169758112738,False
75,ornithine,0.10194949182799161,S,0.38435289055025973,False
76,orotate,0.516452014769252,R,0.753830481663528,False
77,orotate,0.5269187450257959,S,0.7584459706741579,False
78,glutathioneoxidizedGSSG,0.09935877861431301,R,0.382459987536913,False
79,glutathioneoxidizedGSSG,0.05468867509268656,S,0.30688946390638094,False
80,palmitoleaten,0.4983485973328782,R,0.7422653849176659,False
81,palmitoleaten,0.8105822923072988,S,0.9133241654919075,False
82,phenylalanine,0.9235248827077522,R,0.9580603070772233,False
83,phenylalanine,0.5415820091330321,S,0.7684351434700606,False
84,proline,0.1628623896115206,R,0.47436631105953,False
85,proline,0.31410067580428114,S,0.6081684565211652,False
86,lactate,0.16621909645316335,R,0.47673177574534736,False
87,lactate,0.0015696287889571943,S,0.09648090147551722,True
88,pyridoxal,0.49235900433106017,R,0.7396935004835417,False
89,pyridoxal,0.25890248785742065,S,0.5697252987478543,False
90,retinolvitaminA,0.3369181095481085,R,0.6296181629069764,False
91,retinolvitaminA,0.16707028847486405,S,0.47821371855091854,False
92,serine,0.21799782406631396,R,0.533067627542096,False
93,serine,0.06726211740973986,S,0.3283566504827943,False
94,serotonin,0.47699420378482693,R,0.7307815018018392,False
95,serotonin,0.5177141104786522,S,0.753830481663528,False
96,myristate,0.5062098222673865,R,0.746555090768309,False
97,myristate,0.7777014560866515,S,0.8980769954035435,False
98,uridine,0.1230648343995629,R,0.4074306966026681,False
99,uridine,0.0068602289433031035,S,0.1433520567503207,False
100,glutamate,0.15948584950851458,R,0.4684589380618276,False
101,glutamate,0.011478524846059008,S,0.16048917108287858,False
102,glutamine,0.19070449839880751,R,0.5135499238873464,False
103,glutamine,0.004733594161715149,S,0.12826694113740483,False
104,threonine,0.4397937957925748,R,0.6985471050644155,False
105,threonine,0.4857587085127897,S,0.7361983700309187,False
106,tryptophan,0.9451833232559714,R,0.9640795948302822,False
107,tryptophan,0.022000548500818465,S,0.2082287208106877,False
108,valine,0.36256819409676655,R,0.6460379006663315,False
109,valine,0.9468916748436685,S,0.9643854738175844,False
110,pyridoxamine,0.011769870843865552,R,0.16048917108287858,False
111,pyridoxamine,0.02694477536338952,S,0.22817970294575654,False
112,glucose,0.2947059326219665,R,0.5987144515009396,False
113,glucose,0.029130049523317894,S,0.23552889287948992,False
114,betaine,0.25954545928040845,R,0.5697252987478543,False
115,betaine,0.05184056816462709,S,0.3044214386017701,False
116,cysteine,0.5844479860034459,R,0.7975771569461263,False
117,cysteine,0.0094661277699872,S,0.15041008792378713,False
118,mannose,0.28264777587216494,R,0.5860570507452492,False
119,mannose,0.008881832902926472,S,0.15041008792378713,False
120,dimethylglycine,0.3427286914844513,R,0.6323754414585566,False
121,dimethylglycine,0.18378176055796958,S,0.5030789102242519,False
122,alanine,0.14742521122939126,R,0.454419856069139,False
123,alanine,0.023299107481738877,S,0.21544979274780376,False
124,malonate,0.4933064705047234,R,0.7396935004835417,False
125,malonate,0.32116150522793785,S,0.6181206482197991,False
126,cytidine,0.9631669186123021,R,0.970169758112738,False
127,cytidine,0.05768965629072762,S,0.3104436688019423,False
128,arabinose,0.8517473558911138,R,0.9234915738738558,False
129,arabinose,0.023798828170004515,S,0.215654786997273,False
130,adenine,0.9575618994527562,R,0.9690044630311225,False
131,adenine,0.7178969612599588,S,0.8652406072414036,False
132,maltose,0.1976437151340631,R,0.5204725657131056,False
133,maltose,0.3914449047662256,S,0.6693250284472444,False
134,ribose,0.45748081706183497,R,0.714647218109216,False
135,ribose,0.36115167620716926,S,0.6451167196134453,False
136,asparagine,0.4029065007064342,R,0.6770521552000744,False
137,asparagine,0.05021397643385551,S,0.2981339043618949,False
138,dihydroorotate,0.7819744037220551,R,0.8989835026345238,False
139,dihydroorotate,0.2582611565697586,S,0.5697252987478543,False
140,caprylate,0.19216483488052166,R,0.5143412665371685,False
141,caprylate,0.5888896018456151,S,0.7989235829423227,False
142,pentadecanoate,0.6081645973419065,R,0.8079097157322033,False
