reject,Metabolite,p_value,Ex,adj_p
TRUE,alphaketoglutarate,3.88E-09,S,2.99E-08
TRUE,hydroxyisobutyrate,2.05E-12,S,2.77E-11
TRUE,hypoxanthine,8.95E-05,S,0.000231042
TRUE,succinate,1.14E-06,R,5.58E-06
TRUE,succinate,4.40E-11,S,4.75E-10
TRUE,hydroxybutyrateBHBA,0.00028032,R,0.00063072
TRUE,hydroxybutyrateBHBA,1.08E-15,S,2.92E-14
TRUE,dihydroxyacetonephosphateDHAP,0.000248983,R,0.000584569
TRUE,dihydroxyacetonephosphateDHAP,2.52E-06,S,1.13E-05
TRUE,isoleucine,0.002283373,R,0.003853192
TRUE,isoleucine,8.18E-11,S,7.36E-10
TRUE,leucine,3.30E-07,R,1.78E-06
TRUE,leucine,6.49E-15,S,1.17E-13
TRUE,lactate,0.000631285,S,0.001217477
TRUE,valine,0.000222502,R,0.000546142
TRUE,valine,5.33E-06,S,2.21E-05
TRUE,glucose,0.000411043,S,0.000853704
TRUE,Nacetylleucine,0.001933208,S,0.003479775
TRUE,citrate,0.00287077,S,0.004644591
TRUE,methylsuccinate,0.005960616,R,0.008046832
TRUE,methylsuccinate,1.58E-05,S,5.34E-05
TRUE,ethylmalonate,0.000374218,S,0.00080831
TRUE,carnitine,0.004067368,R,0.006137804
TRUE,carnitine,2.43E-17,S,1.31E-15
TRUE,methyloxovalerate,0.000578319,S,0.001156638
TRUE,methyloxopentanoate,4.75E-05,S,0.000150962
TRUE,alphahydroxyisocaproate,8.11E-05,R,0.000230494
TRUE,alphahydroxyisocaproate,1.62E-08,S,1.09E-07
TRUE,acetylcarnitineC,0.004750163,S,0.006750231
TRUE,methyloxobutyrate,0.002924372,S,0.004644591
TRUE,Nacetylisoleucine,8.98E-05,S,0.000231042
TRUE,aconitatecisortrans,0.002016221,S,0.003512127
TRUE,methylbutyrylcarnitineC,0.005246375,S,0.007264211
TRUE,malonylcarnitine,6.18E-05,S,0.000185292
TRUE,betahydroxyisovaleroylcarnitine,0.001279257,R,0.002382065
TRUE,tiglylcarnitineC,5.84E-06,S,2.25E-05
TRUE,deoxycarnitine,0.004091869,R,0.006137804
TRUE,succinylcarnitineCDC,1.07E-05,R,3.87E-05
TRUE,succinylcarnitineCDC,4.91E-08,S,2.94E-07
TRUE,hydroxyglutarate,0.004560708,R,0.006656169
FALSE,alphaketoglutarate,0.32169905,R,0.251764474
FALSE,hydroxyisobutyrate,0.286379779,R,0.227419236
FALSE,hydroxymethylglutarate,0.108334107,R,0.101909832
FALSE,hydroxymethylglutarate,0.772118082,S,0.508468005
FALSE,phosphoglycerate,0.797659327,R,0.508898938
FALSE,phosphoglycerate,0.017068812,S,0.020482574
FALSE,hypoxanthine,0.624851006,R,0.432589158
FALSE,fumarate,0.688274596,R,0.458849731
FALSE,fumarate,0.067600199,S,0.070200206
FALSE,malate,0.373668787,R,0.284198796
FALSE,malate,0.013096485,S,0.016072959
FALSE,lactate,0.643449589,R,0.439826301
FALSE,glucose,0.154738804,R,0.132633261
FALSE,malonate,0.197204342,R,0.1638313
FALSE,malonate,0.801044624,S,0.508898938
FALSE,pyruvate,0.987492482,R,0.605961296
FALSE,pyruvate,0.220444119,S,0.18036337
FALSE,Nacetylleucine,0.048359114,R,0.052227843
FALSE,citrate,0.581403661,R,0.414681765
FALSE,ethylmalonate,0.584889177,R,0.414681765
FALSE,methyloxovalerate,0.080852814,R,0.080852814
FALSE,methyloxopentanoate,0.031562577,R,0.035507899
FALSE,acetylcarnitineC,0.578673469,R,0.414681765
FALSE,methyloxobutyrate,0.149700041,R,0.130383906
FALSE,butyrylcarnitineC,0.091319408,R,0.089659055
FALSE,butyrylcarnitineC,0.920306477,S,0.575435725
FALSE,isobutyrylcarnitineC,0.190900932,R,0.161072662
FALSE,isobutyrylcarnitineC,0.109458708,S,0.101909832
FALSE,butyrylglycineC,0.255441822,R,0.205878483
FALSE,butyrylglycineC,0.656638823,S,0.443231205
FALSE,propionylcarnitineC,0.039392743,R,0.043412411
FALSE,propionylcarnitineC,0.026234883,S,0.030142206
FALSE,Nacetylisoleucine,0.332650063,R,0.256615763
FALSE,alphahydroxyisovalerate,0.011953109,R,0.015368283
FALSE,alphahydroxyisovalerate,0.486991352,S,0.365243514
FALSE,aconitatecisortrans,0.142450589,R,0.127234544
FALSE,isovalerylcarnitineC,0.788773449,R,0.508898938
FALSE,isovalerylcarnitineC,0.057985275,S,0.061396173
FALSE,isovalerylglycine,0.143727911,R,0.127234544
FALSE,isovalerylglycine,0.135490667,S,0.124008407
FALSE,methylbutyrylcarnitineC,0.073474263,R,0.074860569
FALSE,malonylcarnitine,0.008090348,R,0.01065558
FALSE,hydroxymethylvalerate,0.59130548,R,0.414681765
FALSE,hydroxymethylvalerate,0.534821285,S,0.395621225
FALSE,betahydroxyisovaleroylcarnitine,0.013087393,S,0.016072959
FALSE,tiglylcarnitineC,0.92709089,R,0.575435725
FALSE,deoxycarnitine,0.108770362,S,0.101909832
FALSE,hydroxyglutarate,0.021203147,S,0.024890651
