,Metabolite,p_value,AIC,VS,VS_SDev,HS,HS_SDev,VR,VR_SDev,HR,HR_SDev
0,alphaketoglutarate,0.31244066715859836,72.38217968192947,-0.17376206797489993,0.06547390408517624,0.37370329691824705,0.059758330432193904,-0.08011569854658317,0.6333442926296419,-0.11982553039676237,0.6174452708680438
1,hydroxyisobutyrate,0.6376803694512394,62.249747518383415,-0.7922370483833839,0.08962391084995616,-0.5490606021831863,0.08180015158756596,0.5943955131639528,0.23673880997107508,0.7469021374026316,0.2049584862913181
2,hydroxymethylglutarate,0.4939370227965283,71.84680292921753,-0.39046312102313124,0.20409702668383228,-0.3052857453111881,0.1862802857293204,0.5964359477074209,0.3555128803958971,0.09931291862689673,0.4075836573136497
3,phosphoglycerate,0.26127228711475137,69.97103704971487,0.2985191776139937,0.4665644677055518,-0.3875274319142658,0.42583551444859563,0.012662770060851794,0.5870057378598361,0.07634548423943281,0.5851843831898687
4,hypoxanthine,0.04695462145777832,67.83792536070729,-0.059957061023765613,0.29229914024660886,-0.7944341321316508,0.26678275645789346,0.5374635957357264,0.3721435347358859,0.31692759741970083,0.38373377891870936
5,succinate,0.30160775617226665,74.18363797487652,-0.5570722002172719,0.026246540442922447,0.09592323687719763,0.023955336991203037,-0.029387165831795032,0.1616833932421769,0.4905361291718773,0.15366286194264822
6,hydroxybutyrateBHBA,0.42893199416119354,67.1101391010827,-0.819275730971119,0.1110859392129461,-0.14762258868115108,0.10138864261434513,0.2228301806385278,0.32441123364629176,0.7440681390137551,0.28500672923412795
7,dihydroxyacetonephosphateDHAP,0.07557164554875052,66.97856772415568,-0.8275719818061852,0.1716825619346753,0.14058507841164256,0.15669545613457225,-0.10066581705064415,0.2729874445556581,0.7876527204451927,0.22469194264894063
8,fumarate,0.6804022041439624,68.56549207353393,0.21092915430013548,0.5161117073837506,-0.13405835146144848,0.4710575057451751,-0.03150188540794722,0.7724418187103695,-0.045368917430730495,0.641357146206259
9,isoleucine,0.04306893638228325,71.51525599230384,0.06771168651940877,0.06183906742494734,-0.6881185213649438,0.05644079845905182,0.5737296867082274,0.3055593155021839,0.04667714813730742,0.28532602064811946
10,leucine,0.03631979395684315,72.3794885781171,0.39472435980481735,0.009333415262503822,-0.5701837353167655,0.008518650615243553,0.44526521763205035,0.24155819960414263,-0.26980584212010644,0.24190207079074477
11,malate,0.4302284536931438,63.59654429127893,0.5992639604904203,0.48369445315455745,0.0017614026790062447,0.44147013017929443,-0.10731727848717787,0.7769128108023081,-0.493708084682244,0.6389931883177558
12,lactate,0.2370089562250795,67.3024966573684,0.49603318786021583,0.04633708613775513,0.6519138707326065,0.04229206954090782,-0.5431599691188668,0.26988200610562535,-0.6047870894739625,0.2554435961688888
13,valine,0.00701873773149647,66.54245266785215,0.17790240677332111,0.21630367537863482,-0.7630644437965346,0.19742134958316923,0.7355235270072984,0.4455027555037268,-0.1503614899840914,0.3719429706175831
