,Metabolite,p_value,Ex,adj_p,reject
0,alphaketoglutarate,0.9577193867914819,R,0.9865492506154662,False
1,alphaketoglutarate,0.15780877062101717,S,0.81311338587199,False
2,hydroxyisobutyrate,0.4321512686135984,R,0.9129376739358659,False
3,hydroxyisobutyrate,0.955621767433982,S,0.9865492506154662,False
4,hydroxymethylglutarate,0.23100283807884625,R,0.883836945692977,False
5,hydroxymethylglutarate,0.8425063295357189,S,0.9865492506154662,False
6,phosphoglycerate,0.8037628157204095,R,0.9865492506154662,False
7,phosphoglycerate,0.4478902275930148,S,0.9129376739358659,False
8,hypoxanthine,0.22836520186495124,R,0.883836945692977,False
9,hypoxanthine,0.22699729742860025,S,0.883836945692977,False
10,succinate,0.5289174568424956,R,0.9129376739358659,False
11,succinate,0.4064557264315989,S,0.9129376739358659,False
12,hydroxybutyrateBHBA,0.9570479982745715,R,0.9865492506154662,False
13,hydroxybutyrateBHBA,0.20635890341574892,S,0.883836945692977,False
14,dihydroxyacetonephosphateDHAP,0.4506689256349995,R,0.9129376739358659,False
15,dihydroxyacetonephosphateDHAP,0.17462325486336835,S,0.81311338587199,False
16,fumarate,0.9869603059423093,R,0.9869603059423093,False
17,fumarate,0.7507359396615368,S,0.9865492506154662,False
18,isoleucine,0.11605482257649313,R,0.7860525595138026,False
19,isoleucine,0.2696044310470607,S,0.9125073050823593,False
20,leucine,0.16645449930813278,R,0.81311338587199,False
21,leucine,0.1755585719496342,S,0.81311338587199,False
22,malate,0.8396195158411371,R,0.9865492506154662,False
23,malate,0.3504283688843507,S,0.9129376739358659,False
24,lactate,0.46454735350956855,R,0.9129376739358659,False
25,lactate,0.38474757429907325,S,0.9129376739358659,False
26,valine,0.13992030696716323,R,0.81311338587199,False
27,valine,0.038158671551548014,S,0.7587385991007701,False
28,glucose,0.45865025063308873,R,0.9129376739358659,False
29,glucose,0.26183554676826176,S,0.9125073050823593,False
30,malonate,0.7216832751595197,R,0.9770481263698113,False
31,malonate,0.05556541450507166,S,0.7587385991007701,False
32,pyruvate,0.8288604817467828,R,0.9865492506154662,False
33,pyruvate,0.640443516252307,S,0.9649933650735006,False
34,Nacetylleucine,0.03257711897295643,R,0.7587385991007701,False
35,Nacetylleucine,0.04527513987109731,S,0.7587385991007701,False
36,citrate,0.9786831557237896,R,0.9869603059423093,False
37,citrate,0.02820845475632886,S,0.7587385991007701,False
38,methylsuccinate,0.6274385258937643,R,0.9649933650735006,False
39,methylsuccinate,0.9433154466059849,S,0.9865492506154662,False
40,ethylmalonate,0.28640528572895546,R,0.9129376739358659,False
41,ethylmalonate,0.9641276767378419,S,0.9865492506154662,False
42,carnitine,0.9557401387640378,R,0.9865492506154662,False
43,carnitine,0.7064688369943546,S,0.9713946508672375,False
44,methyloxovalerate,0.6702460359227822,R,0.9649933650735006,False
45,methyloxovalerate,0.5288918843455961,S,0.9129376739358659,False
46,methyloxopentanoate,0.8918367533038056,R,0.9865492506154662,False
47,methyloxopentanoate,0.5290888792128314,S,0.9129376739358659,False
48,alphahydroxyisocaproate,0.48320793583411215,R,0.9129376739358659,False
49,alphahydroxyisocaproate,0.6639497340205163,S,0.9649933650735006,False
50,acetylcarnitineC,0.3890723452564211,R,0.9129376739358659,False
51,acetylcarnitineC,0.9206584844627845,S,0.9865492506154662,False
52,methyloxobutyrate,0.8365051642678063,R,0.9865492506154662,False
53,methyloxobutyrate,0.43707543488445755,S,0.9129376739358659,False
54,butyrylcarnitineC,0.5442649483519435,R,0.9210637587494428,False
55,butyrylcarnitineC,0.7951220373250409,S,0.9865492506154662,False
56,isobutyrylcarnitineC,0.25048559385476304,R,0.9125073050823593,False
