,Metabolite,p_value,Ex,adj_p,reject
0,DiHOME,0.07914793359274332,R,0.7219805315523206,False
1,DiHOME,1.0,S,0.9866666666666667,False
2,oxoadipate,0.62413167747721,R,0.8594490482236282,False
3,oxoadipate,0.9781350059800229,S,0.9797571988174906,False
4,Nformylmethionine,0.7609215472369276,R,0.8946380438770246,False
5,Nformylmethionine,0.18414431978805595,S,0.727928453434952,False
6,AMP,0.4069064948337504,R,0.7761329378766121,False
7,AMP,0.9031728358557962,S,0.9519177102426689,False
8,methylthioadenosineMTA,0.5706422954399578,R,0.8303165984210622,False
9,methylthioadenosineMTA,0.5646510513730794,S,0.8274094614179778,False
10,adenosinediphosphoriboseADPribose,0.16767847567511557,R,0.7223695739422538,False
11,adenosinediphosphoriboseADPribose,0.381599322993028,S,0.7661567802728236,False
12,aspartate,0.11727506028898985,R,0.7219805315523206,False
13,aspartate,0.2721149295385078,S,0.7633230744631131,False
14,hydroxyphenyllactateHPLA,0.47503388289567416,R,0.789143713363174,False
15,hydroxyphenyllactateHPLA,0.3457121292876024,S,0.7633230744631131,False
16,carnosine,0.30981900690697145,R,0.7633230744631131,False
17,carnosine,0.014628400093413702,S,0.44637164055447276,False
18,cholesterol,0.021274576982387567,R,0.5375722378964273,False
19,cholesterol,0.4933730263147932,S,0.7929591156087704,False
20,creatinine,0.09422849197545832,R,0.7219805315523206,False
21,creatinine,0.16624891030014877,S,0.7223695739422538,False
22,fumarate,0.3595965654404072,R,0.7633230744631131,False
23,fumarate,0.5878232252286104,S,0.8416890894653206,False
24,gluconate,0.09611769722314072,R,0.7219805315523206,False
25,gluconate,0.23943672129126073,S,0.7633230744631131,False
26,glycine,0.4464550727449672,R,0.78837997920718,False
27,glycine,0.4163340670246485,S,0.7761329378766121,False
28,guanidinoacetate,0.7153784330125468,R,0.8802043427565303,False
29,guanidinoacetate,0.9756808483828326,S,0.9797571988174906,False
30,histidine,0.6906010990085761,R,0.8714745727555439,False
31,histidine,0.41520891509749713,S,0.7761329378766121,False
32,hypotaurine,0.7099212350988218,R,0.8785588790639233,False
33,hypotaurine,0.4612960010402727,S,0.78837997920718,False
34,aminoadipate,0.6044205841584966,R,0.8484820124501389,False
35,aminoadipate,0.2161509930397661,S,0.7539812417144703,False
36,malate,0.48646643155587965,R,0.79010866037953,False
37,malate,0.5756985800226972,S,0.8346640594352204,False
38,nicotinamide,0.3275040248568176,R,0.7633230744631131,False
39,nicotinamide,0.3971968953724153,S,0.7761329378766121,False
40,stearate,0.30928510706806916,R,0.7633230744631131,False
41,stearate,0.4777319534532759,S,0.7898059497038719,False
42,phosphate,0.41353455269010786,R,0.7761329378766121,False
43,phosphate,0.018911528555894657,S,0.5023677842027401,False
44,lactate,0.11466166963189442,R,0.7219805315523206,False
45,lactate,0.8413078352922381,S,0.9292056688302331,False
46,salicylate,0.3113025507001551,R,0.7633230744631131,False
47,salicylate,0.9990430968477033,S,0.9866666666666667,False
48,serine,0.2659929649012258,R,0.7633230744631131,False
49,serine,0.13444644672408707,S,0.7219805315523206,False
50,pyridoxamine,0.771517403242564,R,0.8960672979364308,False
51,pyridoxamine,0.2956906097174033,S,0.7633230744631131,False
52,glucose,0.10335959174788652,R,0.7219805315523206,False
53,glucose,0.6884588012118522,S,0.8714745727555439,False
54,betaine,0.1798398373679934,R,0.7224876306619552,False
55,betaine,0.19740422209876263,S,0.7388240497605872,False
56,cysteine,0.15289712838707323,R,0.7219805315523206,False
57,cysteine,0.15941377030235832,S,0.7219805315523206,False
58,alanine,0.07593886094142158,R,0.7209539248092065,False
59,alanine,0.6820224017758203,S,0.8702507113978388,False
60,UMP,0.06280288966863495,R,0.694193173538884,False
61,UMP,0.7570437296082076,S,0.8942956714641996,False
62,maltose,0.10436080970048936,R,0.7219805315523206,False
63,maltose,0.6883774576656585,S,0.8714745727555439,False
64,asparagine,0.5230339305464099,R,0.8051458425647559,False
65,asparagine,0.14172194948644926,S,0.7219805315523206,False
66,xanthine,0.548293649353733,R,0.8196713141853788,False
67,xanthine,0.7854598577166302,S,0.9061652701496982,False
68,sarcosine,0.0988132940322552,R,0.7219805315523206,False
69,sarcosine,0.2516962940651476,S,0.7633230744631131,False
70,alphatocopherol,0.22095433812157508,R,0.7554742385939002,False
71,alphatocopherol,0.915191345377572,S,0.9552262736071454,False
72,Nacetylalanine,0.42206266482575505,R,0.7808159299276469,False
73,Nacetylalanine,0.275984647391806,S,0.7633230744631131,False
74,citrate,0.8159427967991244,R,0.9178249049770825,False
75,citrate,0.1619799262209464,S,0.7219805315523206,False
76,Nacetylglucosaminylasparagine,0.9707378180053433,R,0.97734147663123,False
77,Nacetylglucosaminylasparagine,0.8745674703561246,S,0.9468155292920122,False
78,creatine,0.032969510873155826,R,0.6051617401666072,False
79,creatine,0.09974100907073362,S,0.7219805315523206,False
80,HHTrE,0.6626221675897067,R,0.8678474263109831,False
81,HHTrE,0.0015757576164434014,S,0.1088323260423576,False
82,nicotinamideribonucleotideNMN,0.35808275941936596,R,0.7633230744631131,False
83,nicotinamideribonucleotideNMN,0.7627054070877934,S,0.8946380438770246,False
84,stearoylsphingomyelind,0.04797446342677539,R,0.6051617401666072,False
85,stearoylsphingomyelind,0.4505711463935693,S,0.78837997920718,False
86,palmitoyloleoylGPC,0.6407226902524196,R,0.8594490482236282,False
87,palmitoyloleoylGPC,0.5992000777351445,S,0.8477607159496949,False
88,methylsuccinate,0.4159638680624269,R,0.7761329378766121,False
89,methylsuccinate,0.1623759303587748,S,0.7219805315523206,False
90,carnitine,0.4718432350772286,R,0.7885042854738455,False
91,carnitine,0.04193378639619909,S,0.6051617401666072,False
92,anserine,0.5101920924604748,R,0.7987933173338231,False
93,anserine,0.21433159909483576,S,0.7525015632306414,False
94,glycerophosphorylcholineGPC,0.3541034598216819,R,0.7633230744631131,False
95,glycerophosphorylcholineGPC,0.04373459422948096,S,0.6051617401666072,False
96,ribitol,0.11109772970962711,R,0.7219805315523206,False
97,ribitol,0.41234474080917316,S,0.7761329378766121,False
98,indolelactate,0.6435518750430902,R,0.8594490482236282,False
99,indolelactate,0.05508966874826476,S,0.65601030831267,False
100,glycylvaline,0.06163518415024597,R,0.694193173538884,False
101,glycylvaline,0.8739672291321826,S,0.9468155292920122,False
102,anhydroglucitolAG,0.5091301613879075,R,0.7987933173338231,False
103,anhydroglucitolAG,0.307457424521452,S,0.7633230744631131,False
104,dipalmitoylGPC,0.7451922024521778,R,0.8873727865917476,False
105,dipalmitoylGPC,0.039686897769179316,S,0.6051617401666072,False
106,hexanoylcarnitineC,0.24329333333018072,R,0.7633230744631131,False
107,hexanoylcarnitineC,0.614011063920534,S,0.8535221636821582,False
108,NacetylaspartateNAA,0.06873108204228681,R,0.6993207914313504,False
109,NacetylaspartateNAA,0.49779101720871055,S,0.7929591156087704,False
