,Metabolite,p_value,AIC,VS,VS_SDev,HS,HS_SDev,VR,VR_SDev,HR,HR_SDev
0,alphaketoglutarate,0.04935462408706751,56.566169861290504,-0.9107845600911618,0.31110348917285957,-0.31385765022282797,0.2839455713594654,0.2764489193412083,0.4908039915605944,0.9481932909727832,0.3758733931274165
1,hydroxyisobutyrate,0.23213021297629574,70.81670538655911,-0.5963343905958559,0.02516829929531141,-0.411889561979734,0.022971221385377764,0.4767239684067072,0.042258483362833055,0.5314999841688834,0.11291845141234752
2,hydroxymethylglutarate,0.021645345287862276,59.74261063591989,-1.0785870291939748,0.0761225081959356,-0.035217164301826843,0.06947735989872071,0.18022673328314623,0.11643098099970632,0.9335774602126566,0.24586959461562347
3,phosphoglycerate,0.36300056028963024,76.91501685345676,0.18147392553734845,0.17170618473824611,-0.1050280868020591,0.1567170167749716,-0.030829967853198987,0.25408413655390016,-0.04561587088209115,0.24076422881723308
4,hypoxanthine,0.0829023321320615,72.38694106323894,-0.2532576754054912,0.3314824352217108,0.21395379241412749,0.3025455282256825,-0.3267666179646822,0.5090695203356075,0.36607050095604604,0.36988434908438755
5,succinate,0.019857517577376967,66.60560056388587,-0.43077901313929085,0.28324128657345193,0.625978425778434,0.2585156121601775,-0.5867872545000714,0.46389271942108096,0.3915878418609315,0.41885853860898203
6,hydroxybutyrateBHBA,0.8734834102302927,70.1644209073032,-0.637076303236079,0.09669737951076522,-0.30299395085116265,0.08825613864745625,0.20946459484635596,0.14210519715891962,0.7306056592408864,0.1580321514248727
7,glucosephosphate,0.8801212810535974,67.82604212522327,0.7183467412436683,0.22983484014889752,0.2741722556888957,0.20977130529104784,-0.31898836013759735,0.35909222409277763,-0.6735306367949664,0.26656535437223905
8,dihydroxyacetonephosphateDHAP,0.26446049950792483,71.75869465348055,0.05217268415547708,0.4150458652078334,-0.12171821901553698,0.37881425132888924,-0.1706597736205726,0.6172755758216985,0.24020530848063212,0.5421309386886937
9,fumarate,0.040617565481079594,77.18702187336669,-0.25294494820573443,0.042973706876410216,0.07222349372767033,0.03922229797196696,-0.07747754629306679,0.06777807853167135,0.25819900077113167,0.05185555653657842
10,isoleucine,0.6603780297537389,75.07336463905676,-0.3899195384864534,0.08060471111072112,-0.25996741472927404,0.07356828691137368,0.2546695909722763,0.130560892857133,0.3952173622434518,0.11200267947142829
11,leucine,0.611562054191662,76.39712838322906,-0.25677196505291144,0.10522703755365834,-0.19312379519063805,0.09604119638798332,0.17098189113481188,0.17431040948616439,0.27891386910873933,0.16574046224078504
12,malate,0.04461870111308439,76.96265671455825,-0.16506327493971248,0.13176117630569392,-0.07950729497004422,0.12025902566566071,-0.01709966206596289,0.19561107428457383,0.2616702319757203,0.17608149413708785
13,methylmalonateMMA,0.1305799189638557,73.32081800027368,0.06826142639511863,0.055044768879161404,0.5701869352029342,0.0502396112345073,-0.32173159071898394,0.13311391958813862,-0.31671677087906885,0.4523045758430631
14,phosphoenolpyruvatePEP,0.32065705874371986,74.2909497263336,0.3378621952285441,0.25377772266598847,0.1400339098485439,0.231624083202293,-0.33910551326369315,0.37566427914426237,-0.13879059181339498,0.3538083018063794
15,lactate,0.011294455680606937,59.72498901906745,-0.20851994891809256,0.46823185959446045,0.5927970581462544,0.4273573506190453,-0.7763702744380688,0.71509388099245,0.3920931652099064,0.523209787889886
16,valine,0.5480957878901451,72.0842084453345,-0.5132240050640818,0.10541277500736669,-0.3944931366284747,0.09621071980784687,0.40940085192570935,0.16583597143882514,0.4983162897668468,0.1257429911272334
17,glucose,0.11732669074331667,66.29550374099489,-0.07583822130267914,0.35515142993911397,0.6349985768581331,0.3241483274948445,-0.7335462666281817,0.5493392018371704,0.17438591107272752,0.39999780057032436
18,malonate,0.49546728824706565,66.76648674188111,-0.3727662421495535,0.3054550151864646,-0.5998921973618412,0.27879018342845835,0.553958395334194,0.5012101419971612,0.4187000441772024,0.45645923500380853
19,pyruvate,0.37702837725274185,69.1809520555442,-0.35310556494490614,0.2600143278898972,-0.06303673104079553,0.23731626119217802,-0.2952629346496494,0.38285167885580695,0.7114052306353508,0.595222219305117
20,Nacetylleucine,0.4912743095712431,75.30575695742544,-0.3834742005502681,0.020796721149727682,0.11151169683471944,0.018981262103369766,-0.19190029341428327,0.06674979398885254,0.46386279712983164,0.1735714773027627
21,Nacetylvaline,0.1958775775532853,68.6886668567015,-0.5397729407439306,0.2225968433345243,-0.45839587372931123,0.20316515263612456,0.4176331093949534,0.3671359281298775,0.5805357050782866,0.3423070883926018
