,Metabolite,p_value,Ex,adj_p,reject
0,mevalonate,0.7757985250200204,R,0.8151737588001862,False
1,putrescine,0.007753482017278337,R,0.09898612042058676,True
2,oxoadipate,0.380073745471463,R,0.5578123319118864,False
3,alphaketoglutarate,0.21575170980276154,R,0.41164070358416777,False
4,hydroxymethylglutarate,0.05618010461119057,R,0.2130394065949108,False
5,hypoxanthine,0.007978046676003225,R,0.1001833402265323,False
6,linoleaten,0.3637813218944983,R,0.5474587280376929,False
7,laurate,0.5566520359556236,R,0.6882831741169355,False
8,NNNtrimethyllysine,0.06337471454836642,R,0.22791094527722386,False
9,glycolatehydroxyacetate,0.37137458141714297,R,0.5540546639077831,False
10,methylthioadenosineMTA,0.04205363434876714,R,0.18513266615606683,False
11,Nmethyladenosine,0.6343411523831162,R,0.7395819219565709,False
12,arginine,0.033995116164019616,R,0.16969840181556803,False
13,argininosuccinate,0.05779866815748627,R,0.21673272575169822,False
14,hydroxyphenyllactateHPLA,0.07582940601911488,R,0.24529018754386803,False
15,betaalanine,0.32559767012179486,R,0.5130898480840012,False
16,biliverdin,0.012238395164828613,R,0.1150585466010426,False
17,succinate,0.005137092926613244,R,0.0809733421312877,True
18,cholesterol,0.03752160572214017,R,0.17006834309561758,False
19,corticosterone,0.036061147989510545,R,0.16991920589726456,False
20,creatinine,0.1557071449494633,R,0.3536003295526101,False
21,deoxycholate,0.08344991533307765,R,0.2556905405805499,False
22,FAD,0.03353944604682314,R,0.16969840181556803,False
23,gammaglutamylglutamate,0.09546062331485795,R,0.27909479946252364,False
24,gluconate,0.008316021206218457,R,0.1027431007090861,False
25,glycine,0.0917049350511594,R,0.2701768471122619,False
26,guanidinoacetate,0.03545817898950068,R,0.16991920589726456,False
27,histamine,0.5429371620646533,R,0.6855441061965281,False
28,hypotaurine,0.3075958967761446,R,0.4979284613682423,False
29,inosine,0.14295696224595417,R,0.33902487021795946,False
30,isoleucine,0.9737956345341116,R,0.9229734811203408,False
31,aminoadipate,0.20841434583381135,R,0.4065528586452575,False
32,citrulline,0.4727018424787792,R,0.6341324191571716,False
33,leucine,0.8425393661293532,R,0.8598291897620257,False
34,lysine,0.8514472408968136,R,0.8638524324860387,False
35,methionine,0.6437300530504622,R,0.7426162961395393,False
36,palmitate,0.2662397264726195,R,0.4621575678142438,False
37,pelargonate,0.46180395248089656,R,0.626091730266136,False
38,ornithine,0.3045249013715293,R,0.4969526606470084,False
39,orotate,0.4938051959554941,R,0.6465893676955701,False
40,glutathioneoxidizedGSSG,0.009564538314113101,R,0.10517921648159126,False
41,palmitoleaten,0.5073841444473738,R,0.6565139436599465,False
42,phenylalanine,0.5434226911288642,R,0.6855441061965281,False
43,proline,0.8271883748865951,R,0.8516482461870052,False
44,lactate,0.001068967973038341,R,0.047939900384975496,True
45,pyridoxal,0.19598395209177477,R,0.39506238763763024,False
